Name,Year,Runtime,Rating,Gross,Director
The Perks of Being a Wallflower,2012,103 ,7.9,$17.74M,Stephen Chbosky
Star Wars: Episode III - Revenge of the Sith,2005,140 ,7.6,$380.26M,George Lucas
Trainspotting,1996,93 ,8.1,$16.50M,Danny Boyle
Home Alone,1990,103 ,7.7,$285.76M,Chris Columbus
Jojo Rabbit,2019,108 ,7.9,$33.37M,Taika Waititi
The Incredibles,2004,115 ,8.0,$261.44M,Brad Bird
The Hateful Eight,2015,168 ,7.8,$54.12M,Quentin Tarantino
The Lord of the Rings: The Two Towers,2002,179 ,8.8,$342.55M,Peter Jackson
Star Wars: Episode VII - The Force Awakens,2015,138 ,7.8,$936.66M,J.J. Abrams
Atonement,2007,123 ,7.8,$50.93M,Joe Wright
Ferris Bueller's Day Off,1986,103 ,7.8,$70.14M,John Hughes
Fantastic Mr. Fox,2009,87 ,7.9,$21.00M,Wes Anderson
About Time,I) (2013,123 ,7.8,$15.32M,Richard Curtis
Saw,2004,103 ,7.6,$56.00M,James Wan
Apocalypto,2006,139 ,7.8,$50.87M,Mel Gibson
The Birds,1963,119 ,7.6,$11.40M,Alfred Hitchcock
A Beautiful Mind,2001,135 ,8.2,$170.74M,Ron Howard
L.A. Confidential,1997,138 ,8.2,$64.62M,Curtis Hanson
Die Hard,1988,132 ,8.2,$83.01M,John McTiernan
Sin City,2005,124 ,8.0,$74.10M,Frank Miller
Airplane!,1980,88 ,7.7,$83.40M,Jim Abrahams
Dances with Wolves,1990,181 ,8.0,$184.21M,Kevin Costner
Das Boot,1981,149 ,8.4,$11.49M,Wolfgang Petersen
Zodiac,2007,157 ,7.7,$33.08M,David Fincher
Vertigo,1958,128 ,8.3,$3.20M,Alfred Hitchcock
Fargo,1996,98 ,8.1,$24.61M,Joel Coen
Inside Out,I) (2015,95 ,8.1,$356.46M,Pete Docter
Once Upon a Time in America,1984,229 ,8.3,$5.32M,Sergio Leone
Into the Wild,2007,148 ,8.1,$18.35M,Sean Penn
The Social Network,2010,120 ,7.8,$96.96M,David Fincher
The Fly,1986,96 ,7.6,$40.46M,David Cronenberg
Watchmen,2009,162 ,7.6,$107.51M,Zack Snyder
Druk,2020,117 ,7.7,None,Thomas Vinterberg
Almost Famous,2000,122 ,7.9,$32.53M,Cameron Crowe
The Untouchables,1987,119 ,7.8,$76.27M,Brian De Palma
Blazing Saddles,1974,93 ,7.7,$119.50M,Mel Brooks
Bohemian Rhapsody,2018,134 ,7.9,$216.43M,Bryan Singer
Detachment,2011,98 ,7.7,$0.07M,Tony Kaye
Ghostbusters,1984,105 ,7.8,$238.63M,Ivan Reitman
Nightcrawler,2014,117 ,7.8,$32.38M,Dan Gilroy
How to Train Your Dragon,2010,98 ,8.1,$217.58M,Dean DeBlois
In Bruges,2008,107 ,7.9,$7.76M,Martin McDonagh
Edge of Tomorrow,2014,113 ,7.9,$100.21M,Doug Liman
"Lock, Stock and Two Smoking Barrels",1998,107 ,8.1,$3.90M,Guy Ritchie
Hidden Figures,2016,127 ,7.8,$169.61M,Theodore Melfi
The Game,1997,129 ,7.7,$48.32M,David Fincher
Spotlight,I) (2015,129 ,8.1,$45.06M,Tom McCarthy
La vita è bella,1997,116 ,8.6,$57.60M,Roberto Benigni
The Color Purple,1985,154 ,7.7,$98.47M,Steven Spielberg
The Intouchables,2011,112 ,8.5,$13.18M,Olivier Nakache
The Father,I) (2020,97 ,8.2,#130,Florian Zeller
Kick-Ass,2010,117 ,7.6,$48.07M,Matthew Vaughn
True Romance,1993,119 ,7.9,$12.28M,Tony Scott
"Three Billboards Outside Ebbing, Missouri",2017,115 ,8.1,$54.51M,Martin McDonagh
The Girl with the Dragon Tattoo,2011,158 ,7.8,$102.52M,David Fincher
Training Day,2001,122 ,7.7,$76.63M,Antoine Fuqua
Tangled,2010,100 ,7.7,$200.82M,Nathan Greno
Children of Men,2006,109 ,7.9,$35.55M,Alfonso Cuarón
E.T. the Extra-Terrestrial,1982,115 ,7.9,$435.11M,Steven Spielberg
Predator,1987,107 ,7.8,$59.74M,John McTiernan
Ocean's Eleven,2001,116 ,7.7,$183.42M,Steven Soderbergh
WALL·E,2008,98 ,8.4,$223.81M,Andrew Stanton
Primal Fear,1996,129 ,7.7,$56.12M,Gregory Hoblit
Scent of a Woman,1992,156 ,8.0,$63.90M,Martin Brest
Little Miss Sunshine,2006,101 ,7.8,$59.89M,Jonathan Dayton
Room,I) (2015,118 ,8.1,$14.68M,Lenny Abrahamson
Coco,I) (2017,105 ,8.4,$209.73M,Lee Unkrich
Blue Velvet,1986,120 ,7.7,$8.55M,David Lynch
The Count of Monte Cristo,2002,131 ,7.7,$54.23M,Kevin Reynolds
The Sandlot,1993,101 ,7.8,$32.42M,David Mickey Evans
Up,2009,96 ,8.3,$293.00M,Pete Docter
Star Trek,2009,127 ,7.9,$257.73M,J.J. Abrams
Before Sunrise,1995,101 ,8.1,$5.54M,Richard Linklater
Stardust,2007,127 ,7.6,$38.63M,Matthew Vaughn
Der Untergang,2004,156 ,8.2,$5.51M,Oliver Hirschbiegel
Willy Wonka & the Chocolate Factory,1971,100 ,7.8,$4.00M,Mel Stuart
Harry Potter and the Deathly Hallows: Part 1,2010,146 ,7.7,$295.98M,David Yates
